"DTSTART","DTEND","DURATION","DTSTAMP","SUMMARY","UID","RECURRENCE-ID","SEQUENCE","RRULEEXRULE","RDATE","EXDATE"
"2013-09-03T09:00:00","2013-09-03T11:30:00","","2013-09-03T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-09-03T09:00:00/2013-09-03T11:30:00@president-office.g0v.tw","","","","",""
"2013-09-02T09:00:00","2013-09-02T11:30:00","","2013-09-02T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-09-02T09:00:00/2013-09-02T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-30T09:00:00","2013-08-30T11:30:00","","2013-08-30T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-30T09:00:00/2013-08-30T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-29T09:00:00","2013-08-29T11:30:00","","2013-08-29T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-29T09:00:00/2013-08-29T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-28T09:00:00","2013-08-28T11:30:00","","2013-08-28T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-28T09:00:00/2013-08-28T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-27T09:00:00","2013-08-27T11:30:00","","2013-08-27T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-27T09:00:00/2013-08-27T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-26T09:00:00","2013-08-26T11:30:00","","2013-08-26T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-26T09:00:00/2013-08-26T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-23T09:00:00","2013-08-23T11:30:00","","2013-08-23T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-23T09:00:00/2013-08-23T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-22T09:00:00","2013-08-22T11:30:00","","2013-08-22T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-22T09:00:00/2013-08-22T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-21T09:00:00","2013-08-21T11:30:00","","2013-08-21T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-21T09:00:00/2013-08-21T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-20T09:00:00","2013-08-20T11:30:00","","2013-08-20T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-20T09:00:00/2013-08-20T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-19T09:00:00","2013-08-19T11:30:00","","2013-08-19T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-19T09:00:00/2013-08-19T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-16T09:00:00","2013-08-16T11:30:00","","2013-08-16T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-16T09:00:00/2013-08-16T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-15T09:00:00","2013-08-15T11:30:00","","2013-08-15T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-15T09:00:00/2013-08-15T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-14T09:00:00","2013-08-14T11:30:00","","2013-08-14T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-14T09:00:00/2013-08-14T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-13T09:00:00","2013-08-13T11:30:00","","2013-08-13T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-13T09:00:00/2013-08-13T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-12T09:00:00","2013-08-12T11:30:00","","2013-08-12T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-12T09:00:00/2013-08-12T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-09T09:00:00","2013-08-09T11:30:00","","2013-08-09T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-09T09:00:00/2013-08-09T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-08T09:00:00","2013-08-08T11:30:00","","2013-08-08T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-08T09:00:00/2013-08-08T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-07T09:00:00","2013-08-07T11:30:00","","2013-08-07T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-07T09:00:00/2013-08-07T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-06T09:00:00","2013-08-06T11:30:00","","2013-08-06T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-06T09:00:00/2013-08-06T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-05T09:00:00","2013-08-05T11:30:00","","2013-08-05T09:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-05T09:00:00/2013-08-05T11:30:00@president-office.g0v.tw","","","","",""
"2013-08-03T08:00:00","2013-08-03T16:00:00","","2013-08-03T08:00:00+00:00","總統府開放參觀（入口報到處：博愛路、寶慶路口）","2013-08-03T08:00:00/2013-08-03T16:00:00@president-office.g0v.tw","","","","",""
