"DTSTART","DTEND","DURATION","DTSTAMP","SUMMARY","UID","RECURRENCE-ID","SEQUENCE","RRULEEXRULE","RDATE","EXDATE"
"2013-09-09T09:00:00","2013-09-09T23:23:00","","2013-09-09T09:00:00+00:00","接見「泰國中華會館中華文化參訪團」","2013-09-09T09:00:00/2013-09-09T23:23:00@president.g0v.tw","","","","",""
"2013-09-08T00:00:00","2013-09-08T23:23:00","","2013-09-08T00:00:00+00:00","無公開行程","2013-09-08T00:00:00/2013-09-08T23:23:00@president.g0v.tw","","","","",""
"2013-09-07T00:00:00","2013-09-07T23:23:00","","2013-09-07T00:00:00+00:00","無公開行程","2013-09-07T00:00:00/2013-09-07T23:23:00@president.g0v.tw","","","","",""
"2013-09-06T00:00:00","2013-09-06T23:23:00","","2013-09-06T00:00:00+00:00","無公開行程","2013-09-06T00:00:00/2013-09-06T23:23:00@president.g0v.tw","","","","",""
"2013-09-05T10:00:00","2013-09-05T23:23:00","","2013-09-05T10:00:00+00:00","與食品安全團體座談會","2013-09-05T10:00:00/2013-09-05T23:23:00@president.g0v.tw","","","","",""
"2013-09-05T14:10:00","2013-09-05T23:23:00","","2013-09-05T14:10:00+00:00","接見英國國會「跨黨派輕軌鐵路小組」(APPLRG)議員訪華團","2013-09-05T14:10:00/2013-09-05T23:23:00@president.g0v.tw","","","","",""
"2013-09-05T16:30:00","2013-09-05T23:23:00","","2013-09-05T16:30:00+00:00","接見全球半導體產業企業領袖代表團","2013-09-05T16:30:00/2013-09-05T23:23:00@president.g0v.tw","","","","",""
"2013-09-04T00:00:00","2013-09-04T23:23:00","","2013-09-04T00:00:00+00:00","無公開行程","2013-09-04T00:00:00/2013-09-04T23:23:00@president.g0v.tw","","","","",""
"2013-09-03T09:58:00","2013-09-03T23:23:00","","2013-09-03T09:58:00+00:00","主持102年中樞秋祭忠烈殉職人員典禮","2013-09-03T09:58:00/2013-09-03T23:23:00@president.g0v.tw","","","","",""
"2013-09-02T10:15:00","2013-09-02T23:23:00","","2013-09-02T10:15:00+00:00","接見臺北市雲林同鄉會理監事及會務幹部","2013-09-02T10:15:00/2013-09-02T23:23:00@president.g0v.tw","","","","",""
"2013-09-01T09:30:00","2013-09-01T23:23:00","","2013-09-01T09:30:00+00:00","視察屏東縣枋山二號隧道受損情形","2013-09-01T09:30:00/2013-09-01T23:23:00@president.g0v.tw","","","","",""
"2013-08-31T20:00:00","2013-08-31T23:23:00","","2013-08-31T20:00:00+00:00","視察經濟部水利署災害應變中心","2013-08-31T20:00:00/2013-08-31T23:23:00@president.g0v.tw","","","","",""
"2013-08-30T09:10:00","2013-08-30T23:23:00","","2013-08-30T09:10:00+00:00","主持國軍重要幹部晉任授階暨授勳典禮","2013-08-30T09:10:00/2013-08-30T23:23:00@president.g0v.tw","","","","",""
"2013-08-30T10:20:00","2013-08-30T23:23:00","","2013-08-30T10:20:00+00:00","出席「慶祝102年軍人節暨全民國防教育日表揚大會」","2013-08-30T10:20:00/2013-08-30T23:23:00@president.g0v.tw","","","","",""
"2013-08-30T16:00:00","2013-08-30T23:23:00","","2013-08-30T16:00:00+00:00","接見日本自民黨眾議員山本幸三（Yamamoto Kouzo）等一行","2013-08-30T16:00:00/2013-08-30T23:23:00@president.g0v.tw","","","","",""
"2013-08-29T09:15:00","2013-08-29T23:23:00","","2013-08-29T09:15:00+00:00","出席臺灣醒報五週年社慶暨發行日報一週年慶感恩音樂會","2013-08-29T09:15:00/2013-08-29T23:23:00@president.g0v.tw","","","","",""
"2013-08-29T11:15:00","2013-08-29T23:23:00","","2013-08-29T11:15:00+00:00","接見中華民國農會及中華民國全國漁會理、監事暨總幹事","2013-08-29T11:15:00/2013-08-29T23:23:00@president.g0v.tw","","","","",""
"2013-08-29T15:00:00","2013-08-29T23:23:00","","2013-08-29T15:00:00+00:00","視察中央災害應變中心","2013-08-29T15:00:00/2013-08-29T23:23:00@president.g0v.tw","","","","",""
"2013-08-28T09:30:00","2013-08-28T23:23:00","","2013-08-28T09:30:00+00:00","出席「2013臺北國際工業自動化大展暨國際機器人展」開幕典禮","2013-08-28T09:30:00/2013-08-28T23:23:00@president.g0v.tw","","","","",""
"2013-08-27T00:00:00","2013-08-27T23:23:00","","2013-08-27T00:00:00+00:00","無公開行程","2013-08-27T00:00:00/2013-08-27T23:23:00@president.g0v.tw","","","","",""
"2013-08-26T00:00:00","2013-08-26T23:23:00","","2013-08-26T00:00:00+00:00","無公開行程","2013-08-26T00:00:00/2013-08-26T23:23:00@president.g0v.tw","","","","",""
"2013-08-25T10:00:00","2013-08-25T23:23:00","","2013-08-25T10:00:00+00:00","出席「中華民國器官捐贈協會」成立20週年紀念活動","2013-08-25T10:00:00/2013-08-25T23:23:00@president.g0v.tw","","","","",""
"2013-08-24T09:00:00","2013-08-24T23:23:00","","2013-08-24T09:00:00+00:00","訪視「85度C /美食達人股份有限公司」","2013-08-24T09:00:00/2013-08-24T23:23:00@president.g0v.tw","","","","",""
"2013-08-24T10:15:00","2013-08-24T23:23:00","","2013-08-24T10:15:00+00:00","出席「102年聽障生暑期成長生活營」成果發表會","2013-08-24T10:15:00/2013-08-24T23:23:00@president.g0v.tw","","","","",""
"2013-08-24T16:00:00","2013-08-24T23:23:00","","2013-08-24T16:00:00+00:00","出席「102年環島單車成年禮」大會師活動","2013-08-24T16:00:00/2013-08-24T23:23:00@president.g0v.tw","","","","",""
