"SUMMARY","DTSTART","DTEND","DURATION","DTSTAMP","UID","RECURRENCE-ID","SEQUENCE","RRULEEXRULE","RDATE","EXDATE"
"出席「傳統文化起飛‧家庭社會溫馨」園遊會","2012-10-07T09:40:00","2012-10-07T23:23:00","","2012-10-07T09:40:00+00:00","2012-10-07T09:40:00/2012-10-07T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2012南投世界茶業博覽會」開幕典禮","2012-10-07T10:50:00","2012-10-07T23:23:00","","2012-10-07T10:50:00+00:00","2012-10-07T10:50:00/2012-10-07T23:23:00@vice-president.g0v.tw","","","","",""
"接見多明尼加參議院副議長黎莎朵（Cristina Lizardo Mézquita）等一行","2013-04-18T09:00:00","2013-04-18T23:23:00","","2013-04-18T09:00:00+00:00","2013-04-18T09:00:00/2013-04-18T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-07-08T00:00:00","2013-07-08T23:23:00","","2013-07-08T00:00:00+00:00","2013-07-08T00:00:00/2013-07-08T23:23:00@vice-president.g0v.tw","","","","",""
"出席「吳鴻麟先生紀念獎學金」頒獎典禮","2012-07-23T14:55:00","2012-07-23T23:23:00","","2012-07-23T14:55:00+00:00","2012-07-23T14:55:00/2012-07-23T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-02-17T00:00:00","2013-02-17T23:23:00","","2013-02-17T00:00:00+00:00","2013-02-17T00:00:00/2013-02-17T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2010-10-02T00:00:00","2010-10-02T23:23:00","","2010-10-02T00:00:00+00:00","2010-10-02T00:00:00/2010-10-02T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2013-07-12T00:00:00","2013-07-12T23:23:00","","2013-07-12T00:00:00+00:00","2013-07-12T00:00:00/2013-07-12T23:23:00@vice-president.g0v.tw","","","","",""
"出席「2011年亞洲民主大會」（Assembly for Democracy in Asia）開幕典禮","2011-08-22T09:10:00","2011-08-22T23:23:00","","2011-08-22T09:10:00+00:00","2011-08-22T09:10:00/2011-08-22T23:23:00@vice-president.g0v.tw","","","","",""
"接見荷蘭「國家政策科學委員會」委員Peter Van Lieshout及Robert Kleinknecht博士","2011-08-22T10:30:00","2011-08-22T23:23:00","","2011-08-22T10:30:00+00:00","2011-08-22T10:30:00/2011-08-22T23:23:00@vice-president.g0v.tw","","","","",""
"出席「第21屆金曲獎頒獎典禮」","2010-06-26T18:50:00","2010-06-26T23:23:00","","2010-06-26T18:50:00+00:00","2010-06-26T18:50:00/2010-06-26T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2011-07-14T00:00:00","2011-07-14T23:23:00","","2011-07-14T00:00:00+00:00","2011-07-14T00:00:00/2011-07-14T23:23:00@vice-president.g0v.tw","","","","",""
"接見亞洲各國洋服同業公會會長","2010-08-03T15:00:00","2010-08-03T23:23:00","","2010-08-03T15:00:00+00:00","2010-08-03T15:00:00/2010-08-03T23:23:00@vice-president.g0v.tw","","","","",""
"無公開行程","2012-03-14T00:00:00","2012-03-14T23:23:00","","2012-03-14T00:00:00+00:00","2012-03-14T00:00:00/2012-03-14T23:23:00@vice-president.g0v.tw","","","","",""
"出席「跨越時代與國界的大愛」特展開幕典禮","2011-01-10T11:00:00","2011-01-10T23:23:00","","2011-01-10T11:00:00+00:00","2011-01-10T11:00:00/2011-01-10T23:23:00@vice-president.g0v.tw","","","","",""
"接見國際扶輪2012-2013總社社長當選人田中作次伉儷暨台灣國際扶輪七個地區總監伉儷","2011-08-18T10:30:00","2011-08-18T23:23:00","","2011-08-18T10:30:00+00:00","2011-08-18T10:30:00/2011-08-18T23:23:00@vice-president.g0v.tw","","","","",""
